Fecha de cobro,Estado,Monto a cobrar
2026-08-28,Confirmado,20918626.56
2026-08-10,Confirmado,89687.89
2026-08-10,Confirmado,562160.11
2026-08-07,Confirmado,2597173.36
2026-08-25,Confirmado,89.32
2026-08-25,Cancelado,434838.54
2026-08-25,Confirmado,5110.68
2026-08-24,Confirmado,343600.85
2026-08-24,Confirmado,7967.09
2026-08-24,Confirmado,523805.87
2026-08-24,Cancelado,523805.87
2026-08-21,Confirmado,434839.0
2026-08-21,Calculado,434839.0
2026-08-20,Confirmado,10350000.0
2026-08-20,Confirmado,3271.17
2026-08-20,Confirmado,348000.0
2026-08-20,Confirmado,372719.0
2026-08-12,Confirmado,334.29
2026-08-14,Confirmado,249351.32
2026-08-14,Confirmado,258363.66
2026-08-13,Confirmado,2974.13
2026-08-13,Confirmado,305720.49
2026-08-13,Confirmado,2253.51
2026-08-12,Confirmado,308000.0
2026-08-12,Confirmado,667442.01
2026-08-11,Confirmado,1521.0
2026-08-11,Confirmado,123479.16
2026-08-10,Confirmado,265023.46
2026-08-10,Confirmado,223631.25
2026-08-10,Confirmado,310598.96
2026-08-10,Confirmado,1242395.82
2026-08-10,Confirmado,651848.61
2026-08-10,Confirmado,372718.75
2026-08-10,Confirmado,203702.69
2026-08-10,Confirmado,238093.57
2026-08-10,Confirmado,246379.17
2026-08-10,Confirmado,255027.08
2026-08-10,Confirmado,369568.75
2026-08-10,Confirmado,88944.68
2026-08-09,Confirmado,369568.75
2026-08-07,Confirmado,372718.75
2026-08-07,Borrador,
2026-07-04,Confirmado,687084.59
2026-08-07,Confirmado,186359.37
2026-08-07,Confirmado,352378.49
2026-08-07,Confirmado,248479.16
2026-08-07,Confirmado,736.0
2026-08-06,Confirmado,107264.56
2026-08-06,Confirmado,666662.01
2026-08-06,Confirmado,20000000.0
2026-08-06,Confirmado,147827.49
2026-08-06,Confirmado,186359.38
2026-08-06,Confirmado,1724.32
2026-08-06,Confirmado,211575.68
2026-08-06,Confirmado,333331.02
2026-08-06,Confirmado,397156.77
2026-08-06,Confirmado,431264.57
2026-08-06,Confirmado,372718.75
2026-08-06,Confirmado,15135537.0
2026-08-06,Confirmado,18480000.0
2026-08-06,Confirmado,373625.78
2026-08-06,Confirmado,331279.32
2026-08-06,Confirmado,2084.0
2026-08-06,Confirmado,246916.67
2026-08-05,Confirmado,307973.96
2026-08-05,Confirmado,2100.0
2026-08-05,Confirmado,246379.17
2026-08-05,Confirmado,687084.59
2026-08-05,Confirmado,283336.04
2026-08-05,Confirmado,246379.16
2026-08-05,Confirmado,248479.16
2026-08-05,Confirmado,40.0
2026-08-05,Confirmado,60.01
2026-08-05,Confirmado,380949.72
2026-08-05,Confirmado,2156322.8
2026-08-05,Confirmado,1175.38
2026-08-05,Confirmado,185184.0
2026-08-05,Confirmado,107816.14
2026-08-05,Confirmado,132511.73
2026-08-05,Confirmado,372718.75
2026-08-05,Confirmado,291525.8
2026-08-05,Confirmado,383620.77
2026-08-05,Confirmado,396703.19
2026-08-05,Confirmado,310598.96
